"id","idmethods","name"
"259","7857","LONG_METHOD"
"260","7857","COMPLEX_METHOD"
"261","7860","LONG_METHOD"
"262","7860","COMPLEX_METHOD"
"263","7872","LONG_METHOD"
"264","7872","COMPLEX_METHOD"
"265","7896","COMPLEX_METHOD"
"266","7903","COMPLEX_METHOD"
"267","8015","LONG_METHOD"
"268","8015","COMPLEX_METHOD"
"269","8015","BRAIN_METHOD"
"270","8067","LONG_METHOD"
"271","8067","COMPLEX_METHOD"
"272","8067","BRAIN_METHOD"
"273","8071","LONG_METHOD"
"274","8126","BRAIN_METHOD"
"275","8126","LONG_METHOD"
"276","8126","COMPLEX_METHOD"
"277","8177","LONG_METHOD"
"278","8177","COMPLEX_METHOD"
"279","8203","BRAIN_METHOD"
"280","8203","LONG_METHOD"
"281","8203","COMPLEX_METHOD"
"282","8228","BRAIN_METHOD"
"283","8228","LONG_METHOD"
"284","8228","COMPLEX_METHOD"
"285","8245","LONG_METHOD"
"286","8247","LONG_METHOD"
"287","8259","COMPLEX_METHOD"
"288","8259","LONG_METHOD"
"289","8274","COMPLEX_METHOD"
"290","8277","LONG_METHOD"
"291","8284","BRAIN_METHOD"
"292","8284","LONG_METHOD"
"293","8286","LONG_METHOD"
"294","8294","LONG_METHOD"
"295","8300","COMPLEX_METHOD"
"296","8316","LONG_METHOD"
"297","8321","COMPLEX_METHOD"
"298","8328","LONG_METHOD"
"299","8336","COMPLEX_METHOD"
"300","8336","BRAIN_METHOD"
"301","8336","LONG_METHOD"
"302","8339","LONG_METHOD"
"303","8639","COMPLEX_METHOD"
"304","8639","LONG_METHOD"
"305","8919","LONG_METHOD"
"306","9004","LONG_METHOD"
"307","9137","COMPLEX_METHOD"
"308","9148","COMPLEX_METHOD"
"309","9163","COMPLEX_METHOD"
"310","9168","COMPLEX_METHOD"
"311","9190","COMPLEX_METHOD"
"312","9190","LONG_METHOD"
"313","9191","COMPLEX_METHOD"
"314","9190","BRAIN_METHOD"
"315","9191","LONG_METHOD"
"316","9210","COMPLEX_METHOD"
"317","9210","LONG_METHOD"
"318","9210","BRAIN_METHOD"
"319","9395","BRAIN_METHOD"
"320","9395","LONG_METHOD"
"321","9395","COMPLEX_METHOD"
"322","9503","LONG_METHOD"
"323","9503","COMPLEX_METHOD"
"324","9503","BRAIN_METHOD"
"325","9732","BRAIN_METHOD"
"326","9732","LONG_METHOD"
"327","9767","LONG_METHOD"
"328","9778","LONG_METHOD"
"329","9875","LONG_METHOD"
"330","9875","COMPLEX_METHOD"
"331","10009","BRAIN_METHOD"
"332","10009","LONG_METHOD"
"333","10009","COMPLEX_METHOD"
"334","10016","COMPLEX_METHOD"
"335","10146","BRAIN_METHOD"
"336","10146","LONG_METHOD"
"337","10164","COMPLEX_METHOD"
"338","10172","LONG_METHOD"
"339","10172","COMPLEX_METHOD"
"340","10174","COMPLEX_METHOD"
"341","10183","BRAIN_METHOD"
"342","10183","LONG_METHOD"
"343","10183","COMPLEX_METHOD"
"344","10191","COMPLEX_METHOD"
"345","10199","BRAIN_METHOD"
"346","10199","LONG_METHOD"
"347","10199","COMPLEX_METHOD"
"348","10460","COMPLEX_METHOD"
"349","10512","COMPLEX_METHOD"
"350","10529","LONG_METHOD"
"351","10534","COMPLEX_METHOD"
"352","10563","COMPLEX_METHOD"
"353","10752","COMPLEX_METHOD"
"354","10885","COMPLEX_METHOD"
"355","10913","COMPLEX_METHOD"
"356","10918","COMPLEX_METHOD"
"357","10956","COMPLEX_METHOD"
"358","11058","LONG_METHOD"
"359","11337","COMPLEX_METHOD"
"360","11359","BRAIN_METHOD"
"361","11359","LONG_METHOD"
"362","11359","COMPLEX_METHOD"
"363","11458","FEATURE_ENVY"
"364","11458","BRAIN_METHOD"
"365","11458","LONG_METHOD"
"366","11458","COMPLEX_METHOD"
"367","11471","LONG_METHOD"
"368","11472","BRAIN_METHOD"
"369","11472","LONG_METHOD"
"370","11472","COMPLEX_METHOD"
"386","12115","BRAIN_METHOD"
"387","12115","LONG_METHOD"
"388","12115","COMPLEX_METHOD"
"389","12140","COMPLEX_METHOD"
"390","12170","LONG_METHOD"
"391","12170","COMPLEX_METHOD"
"392","12177","COMPLEX_METHOD"
"393","12222","COMPLEX_METHOD"
"394","12233","COMPLEX_METHOD"
"395","12334","COMPLEX_METHOD"
"396","12356","COMPLEX_METHOD"
"397","12358","COMPLEX_METHOD"
"398","12444","COMPLEX_METHOD"
"399","12489","LONG_METHOD"
"400","12489","COMPLEX_METHOD"
"401","12521","COMPLEX_METHOD"
"402","12569","COMPLEX_METHOD"
"403","12569","BRAIN_METHOD"
"404","12569","LONG_METHOD"
"405","12660","COMPLEX_METHOD"
"406","12668","COMPLEX_METHOD"
"407","12699","COMPLEX_METHOD"
"408","12706","COMPLEX_METHOD"
"409","12736","LONG_METHOD"
"410","12746","COMPLEX_METHOD"
"411","12762","COMPLEX_METHOD"
"412","12779","COMPLEX_METHOD"
"413","12781","COMPLEX_METHOD"
"414","12870","LONG_METHOD"
"415","12878","LONG_METHOD"
"416","12881","BRAIN_METHOD"
"417","12881","LONG_METHOD"
"418","12881","COMPLEX_METHOD"
"419","12917","BRAIN_METHOD"
"420","12917","LONG_METHOD"
"421","12935","COMPLEX_METHOD"
"422","12936","LONG_METHOD"
"423","12952","LONG_METHOD"
"424","12971","BRAIN_METHOD"
"425","12971","LONG_METHOD"
"426","12971","COMPLEX_METHOD"
"427","12999","BRAIN_METHOD"
"428","12999","LONG_METHOD"
"429","13007","LONG_METHOD"
"430","13017","COMPLEX_METHOD"
"431","13039","COMPLEX_METHOD"
"432","13048","LONG_METHOD"
"433","13259","COMPLEX_METHOD"
"434","13265","COMPLEX_METHOD"
"435","13457","COMPLEX_METHOD"
"436","13460","LONG_METHOD"
"437","13460","COMPLEX_METHOD"
"438","13472","COMPLEX_METHOD"
"439","13493","COMPLEX_METHOD"
"440","13525","LONG_METHOD"
"441","13525","BRAIN_METHOD"
"442","13525","COMPLEX_METHOD"
"443","13527","LONG_METHOD"
"444","13674","LONG_METHOD"
"445","13674","BRAIN_METHOD"
"446","13674","COMPLEX_METHOD"
"447","13681","LONG_METHOD"
"448","13681","BRAIN_METHOD"
"449","13681","COMPLEX_METHOD"
"450","13698","COMPLEX_METHOD"
"451","13711","LONG_METHOD"
"452","13711","BRAIN_METHOD"
"453","13711","COMPLEX_METHOD"
"454","13717","LONG_METHOD"
"455","13717","BRAIN_METHOD"
"456","13717","COMPLEX_METHOD"
"457","13734","COMPLEX_METHOD"
"458","13747","LONG_METHOD"
"459","13747","BRAIN_METHOD"
"460","13747","COMPLEX_METHOD"
"461","13762","COMPLEX_METHOD"
"462","13773","LONG_METHOD"
"463","13773","BRAIN_METHOD"
"464","13773","COMPLEX_METHOD"
"465","13838","LONG_METHOD"
"466","13838","COMPLEX_METHOD"
"467","13843","LONG_METHOD"
"468","13846","COMPLEX_METHOD"
"469","13849","LONG_METHOD"
"470","13849","BRAIN_METHOD"
"471","13849","COMPLEX_METHOD"
"472","13850","COMPLEX_METHOD"
"473","13851","LONG_METHOD"
"474","13855","LONG_METHOD"
"475","13858","COMPLEX_METHOD"
"476","13918","COMPLEX_METHOD"
"477","13918","LONG_METHOD"
"478","13956","COMPLEX_METHOD"
"479","13966","COMPLEX_METHOD"
"480","13966","LONG_METHOD"
"481","13966","BRAIN_METHOD"
"482","14050","COMPLEX_METHOD"
"483","14050","LONG_METHOD"
"484","14055","COMPLEX_METHOD"
"485","14055","LONG_METHOD"
"486","14056","LONG_METHOD"
"487","14055","BRAIN_METHOD"
"488","14056","COMPLEX_METHOD"
"489","14105","COMPLEX_METHOD"
"490","14105","LONG_METHOD"
"491","14105","BRAIN_METHOD"
"492","14122","COMPLEX_METHOD"
"493","14122","LONG_METHOD"
"494","14122","BRAIN_METHOD"
"495","14132","LONG_METHOD"
"496","14162","COMPLEX_METHOD"
"497","14164","COMPLEX_METHOD"
"498","14239","LONG_METHOD"
"499","14341","COMPLEX_METHOD"
"500","14380","LONG_METHOD"
"501","14396","COMPLEX_METHOD"
"502","14396","LONG_METHOD"
"503","14396","BRAIN_METHOD"
"504","14408","COMPLEX_METHOD"
"505","14408","LONG_METHOD"
"506","14408","BRAIN_METHOD"
"507","14426","COMPLEX_METHOD"
"508","14426","LONG_METHOD"
"509","14426","BRAIN_METHOD"
"510","14697","COMPLEX_METHOD"
"511","14697","LONG_METHOD"
"512","14763","COMPLEX_METHOD"
"513","14777","COMPLEX_METHOD"
"514","14806","COMPLEX_METHOD"
"515","14817","COMPLEX_METHOD"
"516","14866","COMPLEX_METHOD"
"517","15148","LONG_METHOD"
"518","15148","COMPLEX_METHOD"
"519","15152","LONG_METHOD"
"520","15169","LONG_METHOD"
"521","15180","LONG_METHOD"
"522","15198","LONG_METHOD"
"523","15198","COMPLEX_METHOD"
"524","15211","LONG_METHOD"
"525","15231","LONG_METHOD"
"526","15244","LONG_METHOD"
"527","15244","BRAIN_METHOD"
"528","15258","BRAIN_METHOD"
"529","15258","COMPLEX_METHOD"
"530","15258","LONG_METHOD"
"531","15264","BRAIN_METHOD"
"532","15264","COMPLEX_METHOD"
"533","15264","LONG_METHOD"
